email,userName,first name,last name,password,birthday,user_since,host_since,host_location,about,responseTime,host_response_rate,host_is_superhost,img,host_identity_verified
Leonie21@gmail.com,Leonie21,Leonie,Leonie,12345678,1/21/1956,11/10/2014,11/10/2014,"Amsterdam, North Holland, The Netherlands",Maurits moved in with his girlfriend Stephanie they especially love to spend their summer nights on the balcony and enjoy the beautiful view and watch the boats pass by. ,a few days or more,75%,f,https://a0.muscache.com/im/users/8542750/profile_pic/1377933994/original.jpg?aki_policy=profile_x_medium,t
Laurens22@gmail.com,Laurens22,Laurens,Laurens,12345678,1/22/1956,4/13/2016,4/13/2016,"Amsterdam, North Holland, Netherlands","Hi I am a 29-year old and work and live in Amsterdam. In my spare time I love to travel. When in Amsterdam I'd like to go out for dinner/lunch/coffee/drinks with friends. Other interests are running food and fashion.
Cheers!",within an hour,100%,t,https://a0.muscache.com/im/users/16223386/profile_pic/1401599685/original.jpg?aki_policy=profile_x_medium,t
Rachel23@gmail.com,Rachel23,Rachel,Rachel,12345678,1/23/1956,2/8/2020,2/8/2020,"Amsterdam, Noord-Holland, Netherlands",My name is Martijn this is my pied-‡-terre. I work for a big tire manufacturing company and when Iím not travelling Iím enjoying Amsterdam during the week. In the weekends I live with my family in the east part of the Netherlands on the country side. ,a few days or more,100%,t,https://a0.muscache.com/im/pictures/user/a8e9a12d-a00d-40d7-a4fb-e926a138be88.jpg?aki_policy=profile_x_medium,t
Sofia24@gmail.com,Sofia24,Sofia,Sofia,12345678,1/24/1956,2/11/2016,2/11/2016,"Amsterdam, North Holland, Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/5d6849ec-c61b-491f-a0ec-38231ac6cc05.jpg?aki_policy=profile_x_medium,t
Lynette25@gmail.com,Lynette25,Lynette,Lynette,12345678,1/25/1956,2/24/2013,2/24/2013,"Amsterdam, North Holland, Netherlands",Wij wonen op het vrachtschip De Flamingo gebouwd in 1930.  We bewonen het samen en regelmatig zijn Peter zijn 2 kinderen aan boord. Het schip is 5.15 breed & 39 mtr. lang en gebouwd voor de Belgische & Franse kanalen. In 1995 is het schip uit de vaart gegaan en omgebouwd tot varend woonschip. We spenderen veel tijd om het schip mooi te houden. Sinds kort ligt het schip op een vaste ligplaats waar we vanaf het grote buiten terras  kunnen genieten van het prachtige weidse uitzicht op het pittoreske Durgerdam het IJvuur en natuurlijk het Markermeer. Ook springen we geregeld in het schone water!,within an hour,75%,f,https://a0.muscache.com/im/pictures/user/bd26d54c-d61a-4d23-936f-ca02bff0cf15.jpg?aki_policy=profile_x_medium,f
I26@gmail.com,I26,I,I,12345678,1/26/1956,5/6/2018,5/6/2018,Netherlands,Niet van origine een Amsterdammer maar kan niet meer zonder deze stad. Ik werk keihard voor en in het onderwijs. Ik ben gek op ruimtes inrichten en mooi maken met weinig middelen. ,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/f4806861-85f4-4f7d-8b29-3ae6f2f3e4d1.jpg?aki_policy=profile_x_medium,t
Stephany27@gmail.com,Stephany27,Stephany,Stephany,12345678,1/27/1956,5/7/2013,5/7/2013,"Amsterdam, North Holland, Netherlands",We are an American/British couple with a three year old son currently living in  the Haarlemmerbuurt in Amsterdam. We work in the areas of women's rights and the law (but not together!) We love to eat drink and travel - as much as life allows! ,within an hour,100%,t,https://a0.muscache.com/im/pictures/user/f48059cc-e8a8-4ece-9874-042fc32d086a.jpg?aki_policy=profile_x_medium,f
Amarah28@gmail.com,Amarah28,Amarah,Amarah,12345678,1/28/1956,12/27/2016,12/27/2016,"Istanbul, ?stanbul, Turkey",A beautiful houseboat in the city centre of Amsterdam very comfortable containing everything you need for a unique stay in Amsterdam! ,within a few hours,67%,t,https://a0.muscache.com/im/pictures/user/5c02db5e-ad65-4434-87c6-ad2459ea53f1.jpg?aki_policy=profile_x_medium,t
Marco29@gmail.com,Marco29,Marco,Marco,12345678,1/29/1956,4/25/2015,4/25/2015,"Amsterdam, North Holland, Netherlands",,a few days or more,75%,t,https://a0.muscache.com/im/users/1451657/profile_pic/1323124506/original.jpg?aki_policy=profile_x_medium,t
Iris30@gmail.com,Iris30,Iris,Iris,12345678,1/30/1956,6/16/2014,6/16/2014,"Amsterdam, North Holland, The Netherlands",married love to travel love to sport,within a day,75%,f,https://a0.muscache.com/im/users/6797351/profile_pic/1370683613/original.jpg?aki_policy=profile_x_medium,f
OlafAndMark31@gmail.com,OlafAndMark31,Olaf And Mark,Olaf And Mark,12345678,1/31/1956,8/27/2015,8/27/2015,"Amsterdam, North Holland, Netherlands",,within an hour,100%,t,https://a0.muscache.com/im/pictures/user/03ca65ed-2c91-4337-a493-58594179cb76.jpg?aki_policy=profile_x_medium,t
Carolina32@gmail.com,Carolina32,Carolina,Carolina,12345678,2/1/1956,4/23/2015,4/23/2015,"Amsterdam, North Holland, Netherlands","Hi all 

We are a young couple living in Amsterdam we are both recent graduates and like to share our Amsterdam apartment with others while traveling. Besides traveling we both like to excerise read and listen to music. 
The appartment is light cozy and feels very homey and is perfectly suited for 2. Located on the edge of the popular Jordan area next to the Westerpark (great on sunny days nice bars and restaurants and Sunday markets) and close to the Amsterdam city center! Public transportation is 100m walk for bus and  tram. 

We hope to be able to welcome you to our apartment!

Regards 
Bauke and Leontien",a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/83b69281-fbfd-4dee-8772-eb4e486ce171.jpg?aki_policy=profile_x_medium,f
Mels33@gmail.com,Mels33,Mels,Mels,12345678,2/2/1956,7/8/2016,7/8/2016,"Amsterdam, North Holland, Netherlands",My name is Inez I'm from Amsterdam and work as a psychologist. ,a few days or more,75%,t,https://a0.muscache.com/im/pictures/user/b1139626-39a0-41fa-a6cd-cf7358d7f381.jpg?aki_policy=profile_x_medium,t
Leonie34@gmail.com,Leonie34,Leonie,Leonie,12345678,2/3/1956,4/21/2014,4/21/2014,"Amsterdam, North Holland, Netherlands","A social worker in his late twenties who loves running conversations&good food and books. I love the city of Amsterdam and have been living here all my life. 
Since I live with my girlfriend it's nice to Airbnb my home a few days of the month. it's really nice to meet new people and helping to experience Amsterdam and have a great stay!",a few days or more,75%,f,https://a0.muscache.com/im/users/8542750/profile_pic/1377933994/original.jpg?aki_policy=profile_x_medium,t
Nassira35@gmail.com,Nassira35,Nassira,Nassira,12345678,2/4/1956,7/3/2013,7/3/2013,"Amsterdam, North Holland, Netherlands",,a few days or more,100%,t,https://a0.muscache.com/im/pictures/user/56b7254d-7354-4702-b8ca-17ff59360e1d.jpg?aki_policy=profile_x_medium,f
Inge36@gmail.com,Inge36,Inge,Inge,12345678,2/5/1956,11/5/2015,11/5/2015,"Amsterdam, North Holland, Netherlands",We rent out apartments for locals with local hosts to make sure you have a wonderful stay!,within an hour,75%,f,https://a0.muscache.com/im/users/5617764/profile_pic/1364225767/original.jpg?aki_policy=profile_x_medium,f
CarlottaFrank37@gmail.com,CarlottaFrank37,Carlotta & Frank,Carlotta & Frank,12345678,2/6/1956,4/4/2016,4/4/2016,"Amsterdam, North Holland, Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/c9388176-cc4b-4c9d-ac26-f89d3a988fe6.jpg?aki_policy=profile_x_medium,t
José38@gmail.com,José38,José,José,12345678,2/7/1956,1/4/2015,1/4/2015,"Amsterdam, North Holland, Netherlands",,a few days or more,75%,f,#N/A,t
Henn39@gmail.com,Henn39,Henn,Henn,12345678,2/8/1956,12/8/2018,12/8/2018,NL,I'm American and am still in love with the Netherlands after 10 years.  I ended up buying this place because I wanted the real experience of living in the rustic center near canals shops and truly being a local.  I'm also a passionate traveller and like to hop around the world to see new places. That's why I leave my home in trusting hands when I'm gone :),within a day,75%,f,https://a0.muscache.com/im/pictures/user/ee333fbd-f2ce-4c14-badb-8e79d89e9930.jpg?aki_policy=profile_x_medium,f
Trix40@gmail.com,Trix40,Trix,Trix,12345678,2/9/1956,10/11/2015,10/11/2015,"Amsterdam, North Holland, Netherlands",,within a day,75%,f,https://a0.muscache.com/im/pictures/user/83d54e00-69b1-47a0-b916-5ee26f59d4e3.jpg?aki_policy=profile_x_medium,f
Hugo41@gmail.com,Hugo41,Hugo,Hugo,12345678,2/10/1956,7/8/2014,7/8/2014,"Amsterdam, North Holland, The Netherlands",,within a day,75%,f,https://a0.muscache.com/im/users/35481000/profile_pic/1433960202/original.jpg?aki_policy=profile_x_medium,f
Estelle42@gmail.com,Estelle42,Estelle,Estelle,12345678,2/11/1956,6/11/2016,6/11/2016,"Amsterdam, North Holland, Netherlands",,a few days or more,100%,f,https://a0.muscache.com/im/pictures/user/79f8ea0a-ba65-4cae-963d-919548ca253a.jpg?aki_policy=profile_x_medium,t
Chun43@gmail.com,Chun43,Chun,Chun,12345678,2/12/1956,5/24/2016,5/24/2016,"Amsterdam, North Holland, Netherlands","We're Ruben&Viki from Amsterdam and we love to travel!  
Amsterdam is an amazing city but we very much like to explore new worlds. Together we started yoga studio Tula and besides yoga we highly appreciate great wines wonderful food and interesting people.
As a host we are more than happy to tell you all the highlights of Amsterdam which are usually not the touristy sights.
The only thing we ask from guests is that they like cats. We have a beautiful small cat named Tuli :-)",a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/1aa33597-6c03-4697-899e-c575e87c4f70.jpg?aki_policy=profile_x_medium,t
Janneke44@gmail.com,Janneke44,Janneke,Janneke,12345678,2/13/1956,9/18/2012,9/18/2012,"Amsterdam, North Holland, Netherlands",Living in the same building as the apartment my core business is working as an architect. I regulary play squash and like good healthy food together with quality wine. I design and create kinematical mechanical art with modular systems like Meccano and FAC. Just invite yourself to my place and I will show you my work.,within a few hours,75%,f,https://a0.muscache.com/im/users/2181530/profile_pic/1421822372/original.jpg?aki_policy=profile_x_medium,f
Reiner45@gmail.com,Reiner45,Reiner,Reiner,12345678,2/14/1956,11/16/2015,11/16/2015,"Amsterdam, North Holland, Netherlands",,within an hour,100%,t,https://a0.muscache.com/im/pictures/user/514cb477-7004-40c1-9715-d59e9744702a.jpg?aki_policy=profile_x_medium,t
Pieter46@gmail.com,Pieter46,Pieter,Pieter,12345678,2/15/1956,8/23/2011,8/23/2011,"Amsterdam, North Holland, The Netherlands",36 year old makeup artist from Amsterdam. Love city trips and nature!,a few days or more,0%,f,https://a0.muscache.com/im/pictures/user/e53d4037-1d29-47de-97a2-61ea2230c1b3.jpg?aki_policy=profile_x_medium,t
Aafke47@gmail.com,Aafke47,Aafke,Aafke,12345678,2/16/1956,3/21/2014,3/21/2014,"Amsterdam, North Holland, Netherlands","Hi!

We are Harmen (28) and Dorien (26) two Dutch people living in Copenhagen.

Our travels mainly consist of short city trips or stays in nature for which we also like to camp out. Hiking cycle touring and eating are some of our main hobbies ;) 

We would love to meet you!  
",a few days or more,75%,f,https://a0.muscache.com/im/users/25386250/profile_pic/1419947851/original.jpg?aki_policy=profile_x_medium,t
YAYSAmsterdamDocklands48@gmail.com,YAYSAmsterdamDocklands48,YAYS Amsterdam Docklands,YAYS Amsterdam Docklands,12345678,2/17/1956,8/26/2019,8/26/2019,"Amsterdam, North Holland, Netherlands",I am Maaike from Amsterdam. I working as eventmanager for company who preserves national heritage.  I like to go museum theater special architecture and my biggest passion is cooking and food.,a few days or more,75%,t,https://a0.muscache.com/im/pictures/user/9a5263f8-8861-48dc-99ad-bc2d15f980c5.jpg?aki_policy=profile_x_medium,t
Bas49@gmail.com,Bas49,Bas,Bas,12345678,2/18/1956,9/16/2015,9/16/2015,NL,We are a family of 3 (wife husband 18 year old son) who enjoy living and working in Amsterdam very much. We have already succesfully rent out our appartment during our Holidays a couple of times. Please check our reviews.,a few days or more,75%,f,https://a0.muscache.com/im/users/2041793/profile_pic/1333203299/original.jpg?aki_policy=profile_x_medium,f
Elien50@gmail.com,Elien50,Elien,Elien,12345678,2/19/1956,8/18/2013,8/18/2013,"Amsterdam, North Holland, The Netherlands",,a few days or more,100%,t,https://a0.muscache.com/im/pictures/user/9dcdd328-452a-4623-9aae-e10111db8230.jpg?aki_policy=profile_x_medium,f
Di51@gmail.com,Di51,Di,Di,12345678,2/20/1956,8/30/2013,8/30/2013,"Oegstgeest, South Holland, Netherlands",Half french half Scottish girl living with my Portuguese husband and our two little boys in the South of France,a few days or more,100%,f,https://a0.muscache.com/im/users/8526120/profile_pic/1436720003/original.jpg?aki_policy=profile_x_medium,f
NoName52@gmail.com,NoName52,NoName,NoName,12345678,2/21/1956,8/31/2013,8/31/2013,"Oegstgeest, South Holland, Netherlands",,a few days or more,75%,f,#N/A,f
Linda53@gmail.com,Linda53,Linda,Linda,12345678,2/22/1956,12/23/2013,12/23/2013,"Amsterdam, North Holland, Netherlands",Wittenberg is a monumental short stay building offering modern accommodation in Amsterdam's residential area. Carre Theater and the Dutch National Opera & Ballet are just 500 meters from the property. All other city highlights are easily accessible by pubic transport. All apartments are fully equipped including flat-screen TVs (Smart HD TV) dishwasher oven and microwave. Each has its own bathroom with free toiletries and a hairdryer. For your comfort towels bed linen and a weekly housekeeping are provided. Some apartments also feature a washing machine and there are public laundry rooms. The Hermitage Museum is just 650 meters away while Artis Zoo is only 400 meters from Wittenberg. The nearest airport is Schiphol Airport 12 km away or a 30-minute drive by car. ,within an hour,75%,f,https://a0.muscache.com/im/users/30429215/profile_pic/1427919156/original.jpg?aki_policy=profile_x_medium,f
Djoeke54@gmail.com,Djoeke54,Djoeke,Djoeke,12345678,2/23/1956,1/11/2016,1/11/2016,"Amsterdam, North Holland, Netherlands",I am a self employed reporter living in Amsterdam.,within a few hours,75%,f,https://a0.muscache.com/im/pictures/user/f2e07404-3057-4636-a157-4e2215f69deb.jpg?aki_policy=profile_x_medium,t
Dorus55@gmail.com,Dorus55,Dorus,Dorus,12345678,2/24/1956,5/20/2014,5/20/2014,"Amsterdam, North Holland, The Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/users/16044391/profile_pic/1429632458/original.jpg?aki_policy=profile_x_medium,t
Hinde56@gmail.com,Hinde56,Hinde,Hinde,12345678,2/25/1956,11/22/2012,11/22/2012,"Amsterdam, Noord-Holland, The Netherlands",Ik leef mijn hele leven al in Amsterdam en ik ken de stad op mijn duimpje.    ,within a day,100%,f,https://a0.muscache.com/im/pictures/user/f4cc8da6-8fed-48d5-86cb-e14dab766545.jpg?aki_policy=profile_x_medium,t
Quynh57@gmail.com,Quynh57,Quynh,Quynh,12345678,2/26/1956,12/12/2013,12/12/2013,"Amsterdam, North Holland, Netherlands",Ik houd ervan om op ontdekkingstocht te gaan in mijn eigen omgeving het liefst de natuur in op de fiets om daar ecologisch onderzoek te doen.,within an hour,75%,f,https://a0.muscache.com/im/pictures/user/e91f7426-3602-43ce-a36b-eff94b168b05.jpg?aki_policy=profile_x_medium,f
JasonLotte58@gmail.com,JasonLotte58,Jason & Lotte,Jason & Lotte,12345678,2/27/1956,6/17/2013,6/17/2013,"Amsterdam, North Holland, The Netherlands",,within a few hours,50%,f,https://a0.muscache.com/im/users/6952882/profile_pic/1371460835/original.jpg?aki_policy=profile_x_medium,f
Heleen59@gmail.com,Heleen59,Heleen,Heleen,12345678,2/28/1956,10/1/2015,10/1/2015,"Amsterdam, North Holland, Netherlands","With my family children Sarah & Thom and their father and love of my life Marijn I live in Amsterdam. 
We love the city a lot but our favorite trips lead us towards virgin beaches. While we are out of town you can enjoy our Amsterdam city apartement!",within a day,75%,f,https://a0.muscache.com/im/pictures/user/ac3b0e16-c060-4fa8-a630-d5fe24db417b.jpg?aki_policy=profile_x_medium,f
Sandra60@gmail.com,Sandra60,Sandra,Sandra,12345678,2/29/1956,10/25/2015,10/25/2015,"Amsterdam, North Holland, Netherlands",Working as Captain on a canal cruise boat in Amsterdam.,within an hour,75%,f,https://a0.muscache.com/im/pictures/user/d1e1beae-1bc5-488b-a323-0f9fc6e313c2.jpg?aki_policy=profile_x_medium,t
Kathelijn61@gmail.com,Kathelijn61,Kathelijn,Kathelijn,12345678,3/1/1956,8/13/2014,8/13/2014,"Amsterdam, North Holland, The Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/4799b2e3-bbb8-46c3-8317-fbb7b8533ded.jpg?aki_policy=profile_x_medium,f
Marie62@gmail.com,Marie62,Marie,Marie,12345678,3/2/1956,12/27/2014,12/27/2014,"Amsterdam, North Holland, Netherlands",I own a hotel in Amsterdam and manage properties for friends. I am the perfect host that will make your stay unforgettable! Looking forward to meet you!,within an hour,75%,f,https://a0.muscache.com/im/users/2539835/profile_pic/1397894962/original.jpg?aki_policy=profile_x_medium,t
Wouter63@gmail.com,Wouter63,Wouter,Wouter,12345678,3/3/1956,1/26/2014,1/26/2014,"Amsterdam, North Holland, The Netherlands",I live in Amsterdam but origanally I'm from the South of Holland. I like to travel play tennis and enjoy my time with good friends and food. My job is to teach students at a school for hospitality. Before that I teached kids at the age of 14-18 who had behaviour problems. ,a few days or more,75%,f,https://a0.muscache.com/im/users/1811434/profile_pic/1431984305/original.jpg?aki_policy=profile_x_medium,t
Lisa64@gmail.com,Lisa64,Lisa,Lisa,12345678,3/4/1956,4/8/2013,4/8/2013,"Amsterdam, North Holland, The Netherlands",I like Airbnb because it helps people to share their home and meet travelers and citizens you would otherwise not speak to. ,within an hour,75%,f,https://a0.muscache.com/im/pictures/user/529583e0-23aa-40eb-8bb4-a641e020d3f4.jpg?aki_policy=profile_x_medium,t
Evert65@gmail.com,Evert65,Evert,Evert,12345678,3/5/1956,8/3/2018,8/3/2018,NL,,a few days or more,75%,f,https://a0.muscache.com/im/users/6533193/profile_pic/1369287600/original.jpg?aki_policy=profile_x_medium,t
Ingrid66@gmail.com,Ingrid66,Ingrid,Ingrid,12345678,3/6/1956,9/6/2016,9/6/2016,"Amsterdam, North Holland, Netherlands","Hello
I am Henriette living in Amsterdam since 1983 on several places.
I was born in Eindhoven in the South of Holland and studied at the University of Nijmegen and Amsterdam political science and film-science.
Many years I worked as a film/video/performance programmer in theatres. 
Since 1990 I am working as a TV journalist and now for many years for a current affairs program. 
I love my work. And I really enjoy going to arthouse movies experimental cinema music and dance.  
Traveling and seeing other cultures makes me happy as well as meeting my family eating with friends and biking with my partner.
I already have a B&B since 1999.  I like it so much : it enriches my life meeting all kinds of different people.


",within a few hours,100%,t,https://a0.muscache.com/im/pictures/user/cd9b30e7-053e-4b34-b295-bb16cb01ace9.jpg?aki_policy=profile_x_medium,f
Ehab67@gmail.com,Ehab67,Ehab,Ehab,12345678,3/7/1956,8/31/2014,8/31/2014,Netherlands,,within an hour,0%,f,https://a0.muscache.com/im/pictures/user/7b87f0c8-2d18-4c14-988b-c890effc9b72.jpg?aki_policy=profile_x_medium,t
Pauline68@gmail.com,Pauline68,Pauline,Pauline,12345678,3/8/1956,11/22/2015,11/22/2015,"Amsterdam, North Holland, Netherlands",,within an hour,75%,f,https://a0.muscache.com/im/pictures/user/caf035e7-7c7d-4441-9901-0366d7aa81ec.jpg?aki_policy=profile_x_medium,t
Adriana69@gmail.com,Adriana69,Adriana,Adriana,12345678,3/9/1956,7/25/2014,7/25/2014,"Amsterdam, North Holland, Netherlands",I Am Rolf. ,a few days or more,75%,f,https://a0.muscache.com/im/users/33143316/profile_pic/1431381596/original.jpg?aki_policy=profile_x_medium,t
Jonthy70@gmail.com,Jonthy70,Jonthy,Jonthy,12345678,3/10/1956,6/11/2015,6/11/2015,"Amsterdam, North Holland, Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/c58ca433-cea3-4c5a-9c37-3c3cf87f7868.jpg?aki_policy=profile_x_medium,t
AndreaRob71@gmail.com,AndreaRob71,Andrea & Rob,Andrea & Rob,12345678,3/11/1956,4/2/2011,4/2/2011,"Amsterdam, North Holland, Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/9aea74e2-30cb-4b21-96b6-78c14d6a37db.jpg?aki_policy=profile_x_medium,t
ClinkNOORD72@gmail.com,ClinkNOORD72,ClinkNOORD,ClinkNOORD,12345678,3/12/1956,2/25/2019,2/25/2019,GB,My wife and I are travelers. We travel for work or for vacations. If I can recall correctly we have been to almost 20+ countries till now and lucky to meet people from different cultures and nationalities. ,a few days or more,81%,f,https://a0.muscache.com/im/pictures/user/e1a0328f-a408-4088-854e-9803e6cc716d.jpg?aki_policy=profile_x_medium,t
