new_id,property_type,HostEmail,name,description,picture_url,neighbourhood,latitude,longitude,room_type,bathrooms_text,bedrooms,beds,accommodates,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location
11,Private room in rental unit,Eline11@gmail.com,Room 4 you!,"Quarto com espaço razoável, para 1 casal ou 2 amigos(a). Toalete e duchas separados.",https://a0.muscache.com/pictures/3cc93bda-c355-4f45-8345-367bd609dcdf.jpg,"Amsterdam, Noord-Holland, Netherlands",52.37394,4.83302,Private room,1 shared bath,1,1,2,"[""Private entrance"", ""Lock on bedroom door"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Heating"", ""Essentials""]",55,3,3,4.5,5,4.5,5
12,Entire condominium (condo),Myrthe12@gmail.com,"Private stay, close to everything!","If you want a typical local experience, please book my apartment with vintage, industrial items. Everything you need for a nice weekend in Amsterdam is provided. A book made trough they eyes of a local, a drink to welcome you and a really comfy house<br /><br /><b>The space</b><br />Everything in the house is less then one year old. You will have full acces to everything in the house. Me myself I live in this apartment in the winter and in summer I live some place else but really nearby. The house has a small balcony. It's a studio but the bed is out of sight. For two persons, it a really great house to stay esspecially because it's close to everything in this beautiful city but in a quiet street to have a good rest.<br /><br /><b>Guest access</b><br />I'm a generous host. I will make sure your stay here will be just great. That's why you can use anything you find in the house.<br /><br /><b>Other things to note</b><br />I'm a neat and nice person, and that's why I want those people in",https://a0.muscache.com/pictures/24e57b49-1acd-4bef-a113-fbb1f7ff841a.jpg,"Amsterdam, Noord-Holland, Netherlands",52.37948,4.87617,Entire home/apt,1 bath,1,1,2,"[""Shampoo"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Hair dryer"", ""Heating"", ""Cooking basics"", ""Fire extinguisher"", ""Long term stays allowed"", ""Essentials"", ""Iron"", ""Smoke alarm"", ""Paid parking off premises"", ""Hangers"", ""Dedicated workspace"", ""TV with standard cable"", ""Coffee maker"", ""First aid kit"", ""Refrigerator"", ""Host greets you"", ""Dishes and silverware"", ""Washer"", ""Cable TV""]",135,3,30,5,4.98,4.94,4.92
13,Private room in rental unit,Nils13@gmail.com,The reading room + chill out space,"A wonderful space for a unique stay, your own bedroom with own shower room and a separate living space fully equipped just for you.<br /><br /><b>The space</b><br />A wonderful space for a unique stay, your own bedroom with own shower room and a separate living space with a sofa bed and fully equipped just for you.<br />Currently no separate kitchen, but fridge and microwave  and coffee making facilities.<br />Google chromecast is installed, so just download Googlehome and connect to enjoy real-time TV on YouTube , Netflix, Videoland, Plex, Spotify and many more apps.<br />Only the toilet is shared occasionally, so you have more than a room for your comfort and privacy.<br />Located on the first floor, and at the back of the building for a quiet stay with views of the neighbours lovely gardens.<br /><br /><b>Guest access</b><br />Own bedroom<br />Own lounge<br />Own shower<br /><br /><b>Other things to note</b><br />Quiet location. Located on the first floor.<br /><br />Additional clea",https://a0.muscache.com/pictures/92339c08-79b6-4e43-b9ee-893ab06a5e0b.jpg,"Amsterdam, Noord-Holland, Netherlands",52.36776,4.92365,Private room,1 shared bath,1,1,3,"[""Hangers"", ""Shampoo"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Wifi"", ""Heating"", ""Essentials""]",81,2,30,5,5,5,5
14,Entire rental unit,Daan14@gmail.com,Unique spacious family home @ de Pijp,"This unique spacious family home (recently renovated) is situated on a corner in the middle of the popular De Pijp neighbourhood. Just behind the famous Albert Cuyp Market, surrounded by cosy restaurants & bars, close to different tramlines and the Noord-Zuid Metro line to take you around other parts of Amsterdam.<br /><br />We will only welcome families with children (aged from 3 yrs up).<br /><br /><b>The space</b><br />This 135m2 apartment is an absolute eye-catcher due to the high ceilings and enormous (corner) windows that makes it light and even more spacious. Recently the whole apartment was renovated. You will learn that we love plants and are very fond of our street city graden.<br /><br />GROUND FLOOR<br />You will enter directly in the large well equipped open kitchen area. The dinner table will easily allow 8 people. In the kitchen you will find a built-in induction cooktop with 4 cooking zones, a dual cook oven, washing machine, 2 fridges (1 small freezer compartment), Jur",https://a0.muscache.com/pictures/a9213cb9-9623-4958-b375-48a94b49cbc6.jpg,"Amsterdam, Noord-Holland, Netherlands",52.35808,4.89817,Entire home/apt,2.5 baths,4,4,4,"[""Stove"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Hair dryer"", ""Heating"", ""Cooking basics"", ""Dryer"", ""Dishwasher"", ""Essentials"", ""Iron"", ""Smoke alarm"", ""Oven"", ""Hangers"", ""Microwave"", ""Coffee maker"", ""Refrigerator"", ""Host greets you"", ""Dishes and silverware"", ""Washer"", ""Private entrance"", ""TV""]",185,3,14,5,5,5,5
15,Entire rental unit,Marit15@gmail.com,Spacious (185 m2) loft in the heart of Amsterdam,This spacious apartment located in the beautiful Jordaan in the middle of the city centre offers an amazing stay for four guests. Located just a 2 minutes walk from the famous Anne Frank House. Restaurants and cafes all over the place.<br /><br /><b>The space</b><br />The spacious living room with a view of the famous Westertoren. Big windows that light up the apartment. A large dining table with 10 seats for a perfect home cooked meal and four bar stools surrounding the kitchen island.,https://a0.muscache.com/pictures/8a66a8a0-7e40-4bde-a1ae-0a4ec33b2444.jpg,"Amsterdam, Noord-Holland, Netherlands",52.37371,4.87872,Entire home/apt,2.5 baths,2,2,4,"[""Hangers"", ""Washer"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Dryer"", ""Long term stays allowed"", ""Wifi"", ""Kitchen"", ""TV"", ""Essentials"", ""Heating"", ""Iron"", ""Smoke alarm"", ""Elevator""]",1000,1,1125,5,5,5,5
16,Entire rental unit,Erik16@gmail.com,Amsterdam house,"In the center of Amsterdam, yet in a quiet area for relaxing after a busy daytrip.  Few minutes from Artis(the zoo), Hortus Botanicus(Botanic Garden), Jewish Histrorical Museum. The famous Waterloo plein Markt is around the corner. The house is for 2 persons max and has all the needs for a pleasant stay in Amsterdam, including a garden.",https://a0.muscache.com/pictures/b4c1c8bc-d2ea-48f6-8e13-164e4fa9a145.jpg,"Amsterdam, Noord-Holland, Netherlands",52.36816,4.90898,Entire home/apt,1 bath,1,1,2,"[""Stove"", ""Paid parking garage off premises"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Hair dryer"", ""Extra pillows and blankets"", ""Heating"", ""Bed linens"", ""Cooking basics"", ""Essentials"", ""Iron"", ""Oven"", ""Hangers"", ""Dedicated workspace"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Backyard"", ""Private entrance"", ""Single level home"", ""Portable fans"", ""Pocket wifi""]",180,3,14,5,5,5,4.93
17,Entire rental unit,Tom17@gmail.com,Modern spacious apartment next to Vondelpark,"This typical Amsterdam apartment, just on the edge of the central city park called Vondelpark, is an ideal get-away! Located in the lively Baarsjes neighborhood, everything you need is just around the corner: the shopping street ""Overtoom"" and all the hip & happening restaurants, cafes and bars at your doorstep. The apartment has 2 bedrooms, living room, dining room, bathroom, separate toilet, two balconies and kitchen, all furnished by a quirky couple with an eye for detail. Welcome!<br /><br /><b>The space</b><br />It's on the first floor, there is no lift.<br /><br /><b>Guest access</b><br />You are free to use all the amnesties including our tv, sonos sound system, wifi, towels, washing machine, extensive collection of spices and books, French coffeemaker and Tom's guitar.<br /><br /><b>Other things to note</b><br />Our beloved cat Zorro will be with you in the house (and sometimes the two neighbour cats come to say hi). Zorro is a friendly companion that loves cuddles and has a ca",https://a0.muscache.com/pictures/miso/Hosting-17026274/original/3270b91a-db2f-4f68-96f8-31d69564afd9.jpeg,"Amsterdam, Noord-Holland, Netherlands",52.36018,4.85404,Entire home/apt,1.5 baths,2,2,4,"[""Stove"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water"", ""Piano"", ""Babysitter recommendations"", ""Hair dryer"", ""Extra pillows and blankets"", ""Cleaning products"", ""Heating"", ""Wifi"", ""Kitchen"", ""HDTV with Amazon Prime Video, Apple TV, Netflix"", ""Bed linens"", ""Cooking basics"", ""Freezer"", ""Board games"", ""Wine glasses"", ""Fire extinguisher"", ""Long term stays allowed"", ""Essentials"", ""Iron"", ""Sonos Bluetooth sound system"", ""Smoke alarm"", ""Oven"", ""Paid parking off premises"", ""Drying rack for clothing"", ""Hangers"", ""Dedicated workspace"", ""Outlet covers"", ""Baby bath"", ""High chair"", ""Changing table"", ""Body soap"", ""Coffee maker"", ""First aid kit"", ""Refrigerator"", ""Ethernet connection"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Washer"", ""Children\u2019s books and toys for ages 0-2 years old"", ""Private entrance"", ""Conditioner"", ""Shower gel"", ""Single level home"", ""Hot water kettle"", ""Dining table"", ""Patio or balcony"", ""Clothing storage: closet and wardrobe""]",178,2,30,4.9,4.97,4.7,4.34
18,Entire rental unit,Rob18@gmail.com,Amsterdam Concertgebouwbuurt,"classic 5/6 rooms apartment, 3d and 4th floor in a nice area of Amsterdam, Concertgebouwbuurt, close to all the musea<br /><br /><b>The space</b><br />spacious, grand piano, library, fit for a couple (twin bed)",https://a0.muscache.com/pictures/34279142/43bff261_original.jpg,"Amsterdam, Noord-Holland, Netherlands",52.3529,4.87757,Entire home/apt,1 bath,1,1,2,"[""Washer"", ""Cable TV"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Shampoo"", ""Fire extinguisher"", ""Air conditioning"", ""Long term stays allowed"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Heating"", ""Smoke alarm""]",110,3,1125,4.56,4.56,4,4.89
19,Entire rental unit,Madelijn19@gmail.com,Cosy apartment near The Vondelpark,"The entrance of the Vondelpark is a 3 minute walk. Through the Vondelpark you will get to the Leidseplein and the famous Amsterdam canals. The Concert Gebouw is a 6 minute bike ride. The nearest tram stop is a 100 meter walk.<br /><br /><b>The space</b><br />Nice, cosy and light apartment near the Vondelpark. <br />The apartment has a fully equipped open kitchen with a big wooden table to enjoy a nice diner and glass of wine. Attached to the living area there is a balcony to enjoy the morning sun. <br /><br />In the bedroom there is a 140 cm wide bed to enjoy a proper night of sleep with open door to the balcony. <br />The small and clean bathroom has a nice and large shower. <br /><br />The apartment includes a very spacious roof terrace (appr. 30 m2). From the roof terrace you can see the Olympic stadium, the financial district, the Vondelpark and the Rijksmuseum.",https://a0.muscache.com/pictures/f6ddb59a-90c8-475d-b1ee-06dcc6d36d97.jpg,"Amsterdam, North Holland, Netherlands",52.3502,4.85382,Entire home/apt,1 bath,1,1,2,"[""Washer"", ""Cable TV"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Shampoo"", ""Dryer"", ""Fire extinguisher"", ""Long term stays allowed"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Heating"", ""Smoke alarm"", ""First aid kit""]",130,1,1125,5,5,5,4.8
20,Entire rental unit,Janneke20@gmail.com,Central | Spacious | Modern APT w/ WiFi @ De Pijp,"Welcome to our central and spacious (90 square meter) apartment in ""De Pijp""! The space is very suitable for couples. Feel free to ask us anything if you have any questions. <br /><br />At 5 - 10 min. walking:<br /><br />* Amsterdam City Center (UNESCO canal belt)<br />* Albert Cuyp Market; <br />* Heineken Experience;<br />* Sarphatipark;<br />* Supermarkets / Bars / Restaurants; and<br />* Tram / Bus / Metro Stops.<br /><br />At 10 - 15 min. walking:<br /><br />* Museums - Rijks, Van Gogh, Stedelijk, MoCo;<br />* Rembrandtplein / Leidseplein (nightlife).<br /><br /><b>The space</b><br />Private apartment in the vibrant area ""De Pijp"".<br /><br /><b>Guest access</b><br />You will have full and private access to the apartment.",https://a0.muscache.com/pictures/4173b694-04ab-4426-82eb-0f5a7277db41.jpg,"Amsterdam, Noord-Holland, Netherlands",52.35807,4.90389,Entire home/apt,1 bath,1,1,2,"[""Hangers"", ""Washer"", ""Dedicated workspace"", ""Private entrance"", ""Shampoo"", ""Long term stays allowed"", ""Wifi"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Essentials"", ""Heating"", ""Iron""]",139,5,1125,5,5,4.6,4.8
21,Entire rental unit,Leonie21@gmail.com,"Spacious and sunny, near Vondelpark","Lovely apartment, near Vondelpark and de Hallen (centre for film, food and crafts). Right in between the Jordaan district and Museum Quarter. Tram stop close by, with a direct connection to Central Station.",https://a0.muscache.com/pictures/4ac9e8f4-f8cf-4370-aba5-055716ea3888.jpg,"Amsterdam, Noord-Holland, Netherlands",52.36556,4.86661,Entire home/apt,1.5 baths,1,1,2,"[""Washer"", ""Hangers"", ""Dedicated workspace"", ""Cable TV"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Shampoo"", ""Dryer"", ""Fire extinguisher"", ""Long term stays allowed"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Smoke alarm"", ""First aid kit"", ""Host greets you"", ""Paid parking off premises""]",90,3,1125,4.94,5,5,4.69
